#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,files,L,ime,SNR,distance,enhancement,enhancement_molno2,mean_signal,size,hour_after_launch,obs_time,time_delta
2025-087 ,2460794.36,2025 Apr 28 2042:20,Falcon 9,FT5,xxx/B1063.25 F467,Starlink-254,Starlink Group 11-9,V2MO 11-9  (27 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.1345261042027563,266.8586343715207,5.556232065186258,0.05500091553771569,4.021154137142373e+16,2717.5030097255467,2513221335713983.0,16.0,3,2025-04-28 22:06:36.014276608,0 days 01:24:16.014276608
2025-094 ,2460805.51,2025 May 10 0019:50,Falcon 9,FT5,xxx/B1081.14 F472,Starlink-259,Starlink Group 15-3,V2MO 15-3  (26 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.9321897170758375,2227.16729542242,6.402425657484598,0.12691164160958707,2.445768546169687e+17,16510.150006498603,3596718450249540.0,68.0,1,2025-05-10 00:11:36.019709696,-1 days +23:51:46.019709696
2025-101 ,2460810.19,2025 May 14 1638:50,Falcon 9,FT5,xxx/B1090.4  F476,Starlink-263,Starlink Group 6-67,V2MO 6-67  (28 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.5496889768196485,570.3465820125085,6.202793861238082,0.1252724700343493,6.739716406154952e+16,4862.301464803581,5184397235503809.0,13.0,1,2025-05-14 16:18:57.026721536,-1 days +23:40:07.026721536
2025-U02  ,2460823.48,2025 May 27 2336:29?,Starship V2,R2,B14.2/S35,Starship Flight 9,Ship 35,-,-,STB,OLP1,-,-,    189, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,3.6092762145339843,8283.889031025688,9.707278932037266,0.043360042377040574,6.760893922963507e+17,49888.95395540216,3735300509924589.5,181.0,2,2025-05-27 23:55:56.032533760,0 days 00:19:27.032533760
2025-113 ,2460824.06,2025 May 28 1330:00,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,5.193816295090108,1418.549788090877,6.9451553684849685,0.06686947586585894,8.234071415413253e+16,5936.742927290473,3920986388292025.0,21.0,1,2025-05-28 13:15:32.024788736,-1 days +23:45:32.024788736
2025-113 ,2460824.06,2025 May 28 1330:00,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,5.193816295090108,967.8411672970949,6.341107854233892,0.21490232742385024,5.623441441425763e+16,4050.4917437014824,4016743886732688.0,14.0,2,2025-05-28 14:15:32.025204736,0 days 00:45:32.025204736
2025-124 ,2460837.05,2025 Jun 10 1305:40,Falcon 9,FT5,xxx/B1083.12 F489,Starlink-274,Starlink Group 12-24,V2MO 12-24,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,4.140605694797327,1332.9301702630391,8.006395227672053,0.19099949820317821,9.709050714276226e+16,6997.3527476551435,4623357482988679.0,21.0,1,2025-06-10 13:15:20.036295680,0 days 00:09:40.036295680
2025-124 ,2460837.05,2025 Jun 10 1305:40,Falcon 9,FT5,xxx/B1083.12 F489,Starlink-274,Starlink Group 12-24,V2MO 12-24,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,4.140605694797327,1997.9965715969283,8.01433682286582,0.1854077086812099,1.4517344484587875e+17,10488.686588368233,9678229656391916.0,15.0,3,2025-06-10 15:15:20.041070592,0 days 02:09:40.041070592
2025-127 ,2460840.15,2025 Jun 13 1529:00,Falcon 9,FT5,xxx/B1078.21 F491,Starlink-276,Starlink Group 12-26,V2MO 12-26,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.954080919766479,816.4871840656479,6.451162634060073,0.27993308918267845,6.20618570630662e+16,4488.425947084443,3650697474298012.0,17.0,1,2025-06-13 15:05:38.029690624,-1 days +23:36:38.029690624
2025-137 ,2460852.33,2025 Jun 25 1954:50,Falcon 9,FT5,xxx/B1080.20 F497,Starlink-280,Starlink Group 10-16,V2MO 10-16,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.7680522925137776,2948.6659334031806,8.302853373506249,0.17297732176499284,3.2091220295376026e+17,23154.826273570234,5730575052745719.0,56.0,2,2025-06-25 20:08:10.029777408,0 days 00:13:20.029777408
